0000100001[]
0000100002[]
0000100003[]
0000100004[317 95 22 43 0 0 0; ]
0000100005[317 96 22 43 0 0 0; ]
0000100006[318 98 22 43 0 0 0; ]
0000100007[318 99 22 43 0 0 0; ]
0000100008[319 100 22 43 0 0 0; ]
0000100009[319 100 22 42 0 0 0; ]
0000100010[320 101 22 42 0 0 0; ]
0000100411[395 86 47 99 3 0 0; ]
0000100412[398 83 48 101 3 0 0; ]
0000100413[401 81 48 103 3 0 0; ]
0000100414[404 80 49 104 3 0 0; ]
0000100415[408 79 50 104 3 0 0; ]
0000100416[411 79 51 104 3 0 0; ]
0000100417[415 79 53 104 3 0 0; ]
0000100418[419 79 54 105 3 0 0; ]
0000100419[422 77 55 106 3 0 0; ]
0000100420[426 76 56 107 3 0 0; ]
0000100421[431 74 57 108 3 0 0; ]
0000100422[436 73 58 110 3 0 0; ]
0000100423[441 72 59 112 3 0 0; ]
0000100424[446 71 60 113 3 0 0; ]
0000100425[]
0000100426[]
0000100427[]
0000100428[]
0000100429[]
0000100430[]
0000100431[]
0000100432[]
0000100433[]
0000100434[]
0000100435[]
0000100436[]
0000100437[]
0000100438[]
0000100439[]
0000100440[]
0000100441[]
0000100442[]
0000100443[]
0000100444[]
0000100445[]
0000100446[]
0000100447[]
0000100448[]
0000100449[]
0000100450[]
0000100451[]
0000100452[]
0000100453[]
0000100454[]
0000100455[424 113 25 56 6 1 0; ]
0000100456[428 108 25 58 6 1 0; ]
0000100457[431 106 25 59 6 1 0; ]
0000100458[434 106 25 60 6 1 0; ]
0000100459[437 106 25 61 6 1 0; ]
0000100460[439 106 26 62 6 1 0; ]
0000100461[442 105 27 63 6 1 0; ]
0000100462[445 105 28 64 6 0 0; ]
0000100463[447 105 29 64 6 0 0; ]
0000100464[450 104 31 65 6 0 0; ]
0000100465[452 104 33 66 6 0 0; ]
0000100466[455 103 34 66 6 0 0; 367 114 17 37 8 0 1; ]
0000100467[458 103 36 67 6 0 0; 368 115 18 37 8 0 1; 385 111 17 36 9 0 1; ]
0000100468[461 102 37 68 6 0 0; 368 115 18 37 8 0 1; 386 113 17 35 9 0 1; ]
0000100469[464 102 38 68 6 0 0; 453 113 18 38 7 1 1; 369 116 18 38 8 0 1; 387 115 17 35 9 0 1; ]
0000100470[467 102 38 69 6 0 0; 454 114 18 38 7 1 1; 370 116 19 38 8 0 1; 387 116 17 35 9 0 1; ]
0000100471[471 101 39 70 6 0 0; 456 114 18 37 7 1 1; 370 116 19 38 8 0 1; 388 117 16 35 9 0 1; ]
0000100472[457 114 18 37 7 1 1; 371 117 19 38 8 0 1; 389 117 16 35 9 0 1; ]
0000100473[459 114 18 38 7 0 1; 371 117 19 39 8 0 1; 390 117 16 35 9 0 1; ]
0000100474[460 113 18 40 7 0 1; 371 117 20 39 8 0 1; 390 118 16 34 9 0 1; ]
0000100475[461 112 18 41 7 0 1; 372 117 20 39 8 0 1; 391 117 16 34 9 0 1; ]
0000100476[462 112 18 42 7 0 1; 372 117 20 39 8 0 1; 391 115 16 34 9 0 1; ]
0000100477[464 112 18 42 7 0 1; 372 117 20 39 8 0 1; 391 114 16 34 9 0 1; ]
0000100478[465 113 18 42 7 0 1; 372 116 20 39 8 0 1; 392 113 16 34 9 0 1; ]
0000100479[466 113 18 42 7 0 1; 372 116 21 39 8 0 1; 392 114 16 34 9 0 1; ]
0000100480[467 114 18 42 7 0 1; 373 116 21 39 8 0 1; 392 114 16 34 9 0 1; ]
0000100481[468 114 18 42 7 0 1; 373 116 21 39 8 0 1; 392 115 16 34 9 0 1; ]
0000100482[469 114 18 43 7 0 1; 372 115 22 38 8 0 1; 392 117 16 34 9 0 1; ]
0000100483[469 112 18 45 7 0 1; 372 114 23 38 8 0 1; 392 114 17 34 9 0 1; ]
0000100484[470 110 18 47 7 0 1; 372 112 23 38 8 0 1; 392 111 17 34 9 0 1; ]
0000100485[471 107 18 45 7 0 1; 372 111 24 38 8 0 1; 392 109 18 34 9 0 1; ]
0000100486[472 104 19 43 7 0 1; 371 109 25 38 8 0 1; 392 108 18 34 9 0 1; ]
0000100487[472 103 19 43 7 0 1; 371 107 25 40 8 0 1; 391 107 18 33 9 0 1; ]
0000100488[473 103 20 43 7 0 1; 371 106 26 41 8 0 1; 391 106 18 33 9 0 1; ]
0000100489[474 103 20 44 7 0 1; 372 106 24 42 8 0 1; 391 105 18 33 9 0 1; ]
0000100490[475 103 20 45 7 0 1; 373 106 23 42 8 0 1; 391 106 18 33 9 0 1; ]
0000100491[475 104 20 45 7 0 1; 371 109 24 42 8 0 1; 391 109 18 33 9 0 1; ]
0000100492[476 105 20 45 7 0 1; 370 112 24 42 8 0 1; 390 111 18 33 9 0 1; ]
0000100493[477 107 20 44 7 0 1; 369 113 25 42 8 0 1; 390 113 18 34 9 0 1; 239 114 16 30 10 0 0; ]
0000100494[478 109 20 43 7 0 1; 369 113 25 42 8 0 1; 390 112 18 34 9 0 1; 238 114 17 30 10 0 0; 214 113 19 32 20 0 0; ]
0000100495[478 110 20 43 7 0 1; 369 113 25 42 8 0 1; 390 112 18 35 9 0 1; 237 114 17 31 10 0 0; 213 113 18 31 20 0 0; ]
0000100496[479 110 20 43 7 0 1; 369 113 25 42 8 0 1; 390 111 18 36 9 0 1; 236 114 19 32 10 0 0; ]
0000100497[480 108 20 43 7 0 1; 368 110 25 43 8 0 1; 389 109 17 37 9 0 1; 235 111 19 31 10 0 0; ]
0000100498[481 106 20 44 7 0 1; 368 108 25 44 8 0 1; 389 106 18 37 9 0 1; 233 109 19 31 10 0 0; ]
0000100499[482 103 20 45 7 0 1; 368 107 25 45 8 0 1; 389 105 18 37 9 0 1; 232 108 19 30 10 0 0; ]
0000100500[483 103 20 46 7 0 1; 367 106 25 45 8 0 1; 389 104 18 38 9 0 1; 231 108 19 31 10 0 0; ]
0000100501[484 104 21 46 7 0 1; 367 107 25 45 8 0 1; 389 105 19 38 9 0 1; 229 110 19 31 10 0 0; ]
0000100502[485 105 21 47 7 0 1; 367 110 25 46 8 0 1; 388 106 19 39 9 0 1; 228 111 19 31 10 0 0; ]
0000100503[486 105 21 47 7 0 1; 366 111 25 46 8 0 1; 388 108 19 39 9 0 1; 226 112 19 31 10 0 0; ]
0000100504[487 106 21 48 7 0 1; 366 111 26 46 8 0 1; 388 108 19 40 9 0 1; 225 112 19 31 10 0 0; 201 111 17 30 20 0 0; ]
0000100505[488 106 21 49 7 0 1; 365 111 26 47 8 0 1; 388 108 19 41 9 0 1; 224 112 19 31 10 0 0; 199 110 17 31 20 0 0; ]
0000100506[489 106 22 49 7 1 1; 365 111 26 47 8 0 1; 388 108 19 41 9 0 1; 222 112 19 31 10 0 0; 198 109 17 32 20 0 0; ]
0000100507[365 110 26 48 8 0 1; 387 108 19 42 9 0 1; 221 112 19 31 10 0 0; 197 109 17 32 20 0 0; ]
0000100508[364 110 26 49 8 0 1; 387 108 20 42 9 0 1; 219 111 20 31 10 0 0; 195 109 17 32 20 0 0; ]
0000100509[364 110 26 49 8 0 1; 387 108 20 42 9 0 1; 218 111 20 31 10 0 0; 194 109 17 31 20 0 0; ]
0000100510[364 109 26 50 8 0 1; 387 108 20 43 9 0 1; 216 110 20 31 10 0 0; 193 109 17 31 20 0 0; ]
0000100511[363 108 26 51 8 0 1; 386 108 20 43 9 0 1; 215 109 20 30 10 0 0; 191 109 17 30 20 0 0; ]
0000100512[363 108 25 49 8 0 1; 386 108 21 44 9 0 1; 189 110 17 30 20 0 0; ]
0000100513[363 108 24 48 8 0 1; 386 108 21 42 9 0 1; 188 111 17 31 20 0 0; ]
0000100514[363 108 24 47 8 0 1; 386 107 21 41 9 0 1; 186 111 17 31 20 0 0; ]
0000100515[363 108 24 47 8 0 1; 386 107 22 40 9 0 1; 184 110 17 31 20 0 0; ]
0000100516[363 106 24 47 8 0 1; 386 107 22 40 9 0 1; 206 110 19 30 10 0 0; 182 108 17 31 20 0 0; ]
0000100517[363 103 24 48 8 0 1; 386 105 22 41 9 0 1; 205 107 20 31 10 0 0; 181 106 18 31 20 0 0; ]
0000100518[363 100 25 49 8 0 1; 386 100 22 42 9 0 1; 203 104 21 32 10 0 0; 179 104 18 30 20 0 0; ]
0000100519[362 99 25 50 8 0 1; 386 97 22 43 9 0 1; 201 103 21 33 10 0 0; 177 103 18 30 20 0 0; ]
0000100520[386 96 22 44 9 0 1; 199 101 22 34 10 0 0; 362 97 25 51 11 0 2; 175 102 19 30 20 0 0; ]
0000100521[386 95 23 44 9 0 1; 196 100 22 35 10 0 0; 362 96 25 52 11 0 2; 173 101 19 30 20 0 0; ]
0000100522[386 95 23 44 9 0 1; 194 100 22 36 10 0 0; 362 96 25 52 11 0 2; 172 100 20 30 20 0 0; ]
0000100523[386 97 23 43 9 0 1; 192 100 22 36 10 0 0; 361 98 25 52 11 0 2; 170 103 20 30 20 0 0; ]
0000100524[386 101 23 42 9 0 1; 190 102 22 37 10 0 0; 360 101 25 53 11 0 2; 168 107 20 30 20 0 0; ]
0000100525[386 104 23 42 9 0 1; 188 104 22 37 10 0 0; 360 104 25 53 11 0 2; 166 109 21 31 20 0 0; ]
0000100526[386 104 23 42 9 0 1; 185 108 22 37 10 0 0; 360 105 25 53 11 0 2; 165 109 21 34 20 0 0; ]
0000100527[386 104 22 44 9 0 1; 183 107 22 37 10 0 0; 360 105 26 53 11 0 2; 163 109 21 34 20 0 0; ]
0000100528[386 105 22 44 9 0 1; 181 107 22 37 10 0 0; 360 105 26 53 11 0 2; 161 109 21 34 20 0 0; ]
0000100529[386 106 22 45 9 0 1; 179 107 22 37 10 0 0; 360 105 26 54 11 0 2; 159 109 20 34 20 0 0; ]
0000100530[386 106 23 45 9 0 1; 177 106 22 37 10 0 0; 360 105 26 54 11 0 2; 157 109 20 34 20 0 0; ]
0000100531[387 106 23 45 9 0 1; 175 106 22 38 10 0 0; 360 105 26 55 11 0 2; 156 109 20 34 20 0 0; ]
0000100532[387 106 23 46 9 0 1; 173 106 22 38 10 0 0; 360 105 27 56 11 0 2; 154 109 20 34 20 0 0; ]
0000100533[387 106 23 46 9 0 1; 171 106 22 38 10 0 0; 360 105 27 57 11 0 2; 152 109 20 34 20 0 0; ]
0000100534[388 106 23 47 9 0 1; 169 107 22 39 10 0 0; 360 105 27 58 11 0 2; 151 110 20 34 20 0 0; ]
0000100535[388 106 23 47 9 0 1; 167 107 22 39 10 0 0; 360 105 28 59 11 0 2; 149 110 20 34 20 0 0; ]
0000100536[389 105 24 48 9 0 1; 165 108 22 40 10 0 0; 359 105 29 59 11 0 2; 148 110 20 34 20 0 0; ]
0000100537[389 104 24 49 9 0 1; 163 108 22 41 10 0 0; 358 105 30 59 11 0 2; 146 110 20 34 20 0 0; ]
0000100538[389 103 25 50 9 0 1; 161 109 22 42 10 0 0; 357 104 31 59 11 0 2; 145 110 20 34 20 0 0; ]
0000100539[390 101 26 51 9 0 1; 158 107 23 43 10 0 0; 357 104 32 60 11 0 2; 144 108 20 35 20 0 0; ]
0000100540[390 99 27 52 9 0 1; 156 105 25 45 10 0 0; 358 102 32 60 11 0 2; 142 106 21 37 20 0 0; ]
0000100541[390 97 28 53 9 0 1; 153 101 27 48 10 0 0; 359 100 32 61 11 0 2; 141 104 21 39 20 0 0; ]
0000100542[391 95 28 54 9 0 1; 151 101 27 48 10 0 0; 360 98 32 62 11 0 2; 138 101 22 39 20 0 0; ]
0000100543[392 96 29 55 9 0 1; 149 101 28 49 10 0 0; 361 97 32 63 11 0 2; 136 100 22 39 20 0 0; ]
0000100544[394 97 30 56 9 0 1; 147 101 28 49 10 0 0; 362 97 32 64 11 0 2; 133 101 24 40 20 1 0; ]
0000100545[395 97 31 57 9 0 1; 144 101 29 50 10 0 0; 363 97 32 64 11 0 2; 131 102 24 40 20 1 0; ]
0000100546[397 98 31 58 9 0 1; 142 101 29 51 10 0 0; 364 97 33 65 11 0 2; 130 103 24 40 20 1 0; ]
0000100547[398 98 31 58 9 0 1; 139 101 30 52 10 0 0; 365 97 34 66 11 0 2; 129 103 23 40 20 1 0; ]
0000100548[400 98 31 59 9 0 1; 136 100 30 52 10 0 0; 366 97 35 67 11 0 2; 128 103 22 40 20 1 0; ]
0000100549[402 98 32 59 9 0 1; 134 99 30 53 10 0 0; 367 97 36 67 11 0 2; 126 102 23 40 20 1 0; ]
0000100550[403 97 31 59 9 0 1; 130 97 31 54 10 0 0; 368 97 37 68 11 0 2; 124 100 23 40 20 1 0; ]
0000100551[405 96 31 58 9 1 1; 127 94 31 55 10 0 0; 369 95 39 68 11 0 2; ]
0000100552[407 94 30 58 9 1 1; 124 92 32 56 10 0 0; 370 93 40 69 11 0 2; ]
0000100553[409 93 30 57 9 1 1; 120 91 32 57 10 0 0; 372 92 41 69 11 1 2; ]
0000100554[411 93 30 58 9 1 1; 117 91 33 59 10 0 0; 374 94 41 70 11 1 2; ]
0000100555[413 94 30 59 9 1 1; 113 92 33 61 10 0 0; 376 95 41 71 11 1 2; ]
0000100556[415 95 30 61 9 1 1; 109 94 34 63 10 0 0; 378 97 41 71 11 1 2; ]
0000100557[418 96 31 63 9 1 1; 105 93 34 64 10 0 0; 379 97 41 72 11 1 2; ]
0000100558[424 93 28 68 9 1 1; 101 92 35 66 10 0 0; 381 97 41 72 11 1 2; ]
0000100559[425 93 29 69 9 1 1; 97 91 36 68 10 0 0; 383 97 42 73 11 1 2; ]
0000100560[426 92 30 70 9 1 1; 92 89 37 70 10 0 0; 384 97 42 73 11 1 2; ]
0000100561[428 92 30 71 9 1 1; 86 88 38 72 10 0 0; 386 97 43 74 11 1 2; ]
0000100562[430 92 31 72 9 1 1; 81 87 39 74 10 0 0; 387 97 44 74 11 1 2; ]
0000100563[432 91 32 73 9 1 1; 75 86 40 76 10 0 0; 389 97 45 75 11 1 2; ]
0000100564[434 91 32 74 9 1 1; 68 85 41 78 10 0 0; 391 97 45 76 11 1 2; 98 96 25 48 21 1 0; ]
0000100565[437 91 33 75 9 1 1; 61 83 42 81 10 0 0; 392 97 45 76 11 1 2; 93 97 27 49 21 1 0; ]
0000100566[439 90 34 76 9 1 1; 54 82 44 84 10 0 0; 394 97 45 77 11 1 2; 89 97 29 49 21 1 0; ]
0000100567[443 90 34 77 9 1 1; 46 81 46 86 10 0 0; 396 97 45 79 11 1 2; 85 98 30 50 21 1 0; ]
0000100568[446 89 34 78 9 1 1; 38 80 47 89 10 0 0; 398 97 45 81 11 1 2; 82 98 31 51 21 0 0; ]
0000100569[449 89 34 79 9 1 1; 29 78 49 92 10 0 0; 400 97 45 82 11 1 2; 78 97 31 51 21 0 0; ]
0000100570[452 89 35 80 9 1 1; 20 77 51 95 10 0 0; 402 97 45 83 11 1 2; 75 96 31 52 21 0 0; ]
0000100571[456 88 35 81 9 1 1; 11 76 53 99 10 0 0; 405 96 46 84 11 1 2; 72 95 31 53 21 0 0; ]
0000100572[460 88 36 81 9 1 1; 407 96 46 85 11 1 2; 69 94 32 54 21 0 0; ]
0000100573[463 87 36 82 9 1 1; 410 96 46 86 11 1 2; 66 94 32 54 21 0 0; ]
0000100574[467 87 37 83 9 1 1; 413 96 46 87 11 1 2; 63 94 32 55 21 0 0; ]
0000100575[471 86 37 84 9 1 1; 416 96 46 87 11 1 2; 59 94 33 56 21 0 0; ]
0000100576[420 95 46 88 11 1 2; 56 93 33 56 21 0 0; ]
0000100577[424 95 47 88 11 1 2; 52 93 33 57 21 0 0; ]
0000100578[428 94 47 89 11 1 2; 49 93 34 57 21 0 0; ]
0000100579[432 93 48 89 11 1 2; 45 93 35 58 21 0 0; ]
0000100580[437 92 48 89 11 1 2; 41 92 35 60 21 0 0; ]
0000100581[441 92 48 92 11 1 2; 38 91 36 61 21 0 0; ]
0000100582[445 91 49 94 11 1 2; 34 90 36 63 21 0 0; ]
0000100583[449 91 49 97 11 1 2; 30 89 37 64 21 0 0; ]
0000100584[454 90 50 99 11 1 2; 26 88 38 66 21 0 0; ]
0000100585[458 90 51 102 11 1 2; 22 87 38 67 21 0 0; ]
0000100586[18 86 39 69 21 0 0; ]
0000100587[14 85 40 70 21 0 0; ]
0000100588[10 84 41 71 21 0 0; ]
0000100589[6 83 42 72 21 0 0; ]
0000100590[1 82 43 73 21 0 0; ]
0000100591[]
0000100592[]
0000100593[]
0000100594[]
0000100595[]
0000100596[]
0000100597[]
0000100598[]
0000100599[]
0000100600[]
0000100601[]
0000100602[]
0000100603[]
0000100604[]
0000100605[]
0000100606[]
0000100607[]
0000100608[]
0000100609[]
0000100610[]
0000100611[]
0000100612[]
0000100613[]
0000100614[]
0000100615[]
0000100616[]
0000100617[]
0000100618[]
0000100619[]
0000100620[]
0000100621[]
0000100622[]
0000100623[]
0000100624[]
0000100625[]
0000100626[]
0000100627[]
0000100628[]
0000100629[]
0000100630[]
0000100631[]
0000100632[]
0000100633[]
0000100634[]
0000100635[]
0000100636[]
0000100637[]
0000100638[]
0000100639[]
0000100640[]
0000100641[]
0000100642[]
0000100643[]
0000100644[]
0000100645[]
0000100646[]
0000100647[]
0000100648[]
0000100649[]
0000100650[]
0000100651[]
0000100652[]
0000100653[]
0000100654[]
0000100655[]
0000100656[]
0000100657[]
0000100658[]
0000100659[]
0000100660[]
0000100661[]
0000100662[]
0000100663[]
0000100664[]
0000100665[]
0000100666[]
0000100667[]
0000100668[]
0000100669[]
0000100670[]
0000100671[61 98 16 30 12 0 0; ]
0000100672[60 100 15 30 12 0 0; ]
0000100673[]
0000100674[]
0000100675[]
0000100676[]
0000100677[]
0000100678[]
0000100679[]
0000100680[]
0000100681[]
0000100682[]
0000100683[44 104 18 30 12 0 0; ]
0000100684[43 103 18 30 12 0 0; ]
0000100685[42 101 18 30 12 0 0; ]
0000100686[41 98 18 30 12 0 0; ]
0000100687[40 95 18 30 12 0 0; ]
0000100688[39 92 18 31 12 0 0; ]
0000100689[38 91 17 32 12 0 0; ]
0000100690[38 89 17 32 12 0 0; ]
0000100691[37 89 17 33 12 0 0; ]
0000100692[37 90 17 33 12 0 0; ]
0000100693[36 91 17 34 12 0 0; ]
0000100694[35 91 17 34 12 0 0; ]
0000100695[35 92 17 34 12 0 0; ]
0000100696[34 93 17 34 12 0 0; ]
0000100697[34 94 17 34 12 0 0; ]
0000100698[33 94 17 33 12 0 0; ]
0000100699[32 95 17 33 12 0 0; ]
0000100700[32 95 18 33 12 0 0; ]
0000100701[31 96 18 33 12 0 0; ]
0000100702[30 96 19 32 12 0 0; ]
0000100703[30 97 19 32 12 0 0; ]
0000100704[30 98 19 33 12 0 0; ]
0000100705[29 98 19 33 12 0 0; ]
0000100706[29 97 19 33 12 0 0; ]
0000100707[28 95 19 34 12 0 0; ]
0000100708[28 94 19 34 12 0 0; ]
0000100709[28 94 19 34 12 0 0; ]
0000100710[27 93 19 34 12 0 0; ]
0000100711[27 93 19 34 12 0 0; ]
0000100712[26 93 19 33 12 0 0; ]
0000100713[26 93 19 34 12 0 0; ]
0000100714[26 92 19 35 12 0 0; ]
0000100715[25 91 19 36 12 0 0; ]
0000100716[]
0000100717[]
0000100718[]
0000100719[]
0000100720[]
0000100721[]
0000100722[]
0000100723[]
0000100724[]
0000100725[]
0000100726[]
0000100727[]
0000100728[]
0000100729[]
0000100730[]
0000100731[]
0000100732[]
0000100733[]
0000100734[]
0000100735[]
0000100736[]
0000100737[]
0000100738[]
0000100739[]
0000100740[]
0000100741[]
0000100742[]
0000100743[]
0000100744[]
0000100745[]
0000100746[]
0000100747[]
0000100748[]
0000100749[]
0000100750[]
0000100751[]
0000100752[]
0000100753[]
0000100754[]
0000100755[]
0000100756[]
0000100757[]
0000100758[]
0000100759[]
0000100760[]
0000100761[]
0000100762[]
0000100763[0 85 22 48 13 1 0; ]
0000100764[]
0000100765[]
0000100766[]
0000100767[]
0000100768[]
0000100769[]
0000100770[]
0000100771[]
0000100772[]
0000100773[]
0000100774[]
0000100775[]
0000100776[]
0000100777[]
0000100778[]
0000100779[]
0000100780[]
0000100781[]
0000100782[]
0000100783[]
0000100784[]
0000100785[]
0000100786[]
0000100787[]
0000100788[]
0000100789[]
0000100790[]
0000100791[]
0000100792[]
0000100793[]
0000100794[]
0000100795[]
0000100796[]
0000100797[]
0000100798[]
0000100799[]
0000100800[]
0000100801[]
0000100802[]
0000100803[]
0000100804[]
0000100805[]
0000100806[]
0000100807[]
0000100808[]
0000100809[]
0000100810[]
0000100811[]
0000100812[]
0000100813[]
0000100814[]
0000100815[]
0000100816[]
0000100817[]
0000100818[]
0000100819[]
0000100820[]
0000100821[]
0000100822[]
0000100823[]
0000100824[]
0000100825[]
0000100826[]
0000100827[]
0000100828[]
0000100829[]
0000100830[]
0000100831[]
0000100832[]
0000100833[]
0000100834[]
0000100835[]
0000100836[]
0000100837[165 98 19 34 15 0 0; ]
0000100838[167 98 19 34 15 0 0; ]
0000100839[169 99 19 33 15 0 0; ]
0000100840[171 100 19 33 15 0 0; ]
0000100841[173 101 19 33 15 0 0; ]
0000100842[175 102 19 32 15 0 0; ]
0000100843[178 104 19 32 15 0 0; ]
0000100844[180 104 19 32 15 0 0; ]
0000100845[182 104 19 32 15 0 0; ]
0000100846[184 104 19 32 15 0 0; ]
0000100847[186 103 19 33 15 0 0; ]
0000100848[188 102 19 33 15 0 0; ]
0000100849[190 101 19 33 15 0 0; ]
0000100850[192 101 19 34 15 0 0; ]
0000100851[194 100 19 34 15 0 0; ]
0000100852[196 99 19 34 15 0 0; ]
0000100853[197 99 19 34 15 0 0; ]
0000100854[199 99 19 34 15 0 0; ]
0000100855[200 99 19 34 15 0 0; ]
0000100856[202 99 20 34 15 0 0; ]
0000100857[203 100 20 34 15 0 0; ]
0000100858[205 100 20 34 15 0 0; ]
0000100859[206 100 20 34 15 0 0; ]
0000100860[208 101 20 35 15 0 0; ]
0000100861[209 101 20 35 15 0 0; ]
0000100862[211 102 20 35 15 0 0; ]
0000100863[212 103 20 35 15 0 0; ]
0000100864[213 104 20 35 15 0 0; ]
0000100865[215 105 20 35 15 0 0; ]
0000100866[216 106 20 35 15 0 0; ]
0000100867[218 107 20 35 15 0 0; ]
0000100868[219 107 20 33 15 0 0; ]
0000100869[221 108 20 31 15 0 0; ]
0000100870[222 108 19 31 15 0 0; ]
0000100871[223 108 19 30 15 0 0; ]
0000100872[224 106 19 32 15 0 0; ]
0000100873[224 103 19 34 15 0 0; ]
0000100874[225 101 19 35 15 0 0; ]
0000100875[225 101 19 35 15 0 0; ]
0000100876[225 102 19 35 15 0 0; ]
0000100877[226 103 19 35 15 0 0; ]
0000100878[226 103 19 35 15 0 0; ]
0000100879[226 104 20 35 15 0 0; ]
0000100880[226 103 20 35 15 0 0; ]
0000100881[226 102 20 37 15 0 0; ]
0000100882[226 100 21 39 15 0 0; ]
0000100883[226 99 21 39 15 0 0; ]
0000100884[226 98 21 39 15 0 0; ]
0000100885[227 97 21 39 15 0 0; ]
0000100886[227 98 21 38 15 0 0; ]
0000100887[227 99 20 38 15 0 0; ]
0000100888[227 100 20 37 15 0 0; ]
0000100889[227 102 19 37 15 0 0; ]
0000100890[227 103 20 37 15 0 0; ]
0000100891[227 104 20 37 15 0 0; ]
0000100892[227 106 20 37 15 0 0; ]
0000100893[227 106 20 37 15 0 0; ]
0000100894[228 106 21 37 15 0 0; ]
0000100895[228 105 21 37 15 0 0; ]
0000100896[228 104 21 37 15 0 0; ]
0000100897[228 103 21 37 15 0 0; ]
0000100898[228 101 22 37 15 0 0; ]
0000100899[228 100 22 38 15 0 0; ]
0000100900[228 100 22 38 15 0 0; ]
0000100901[228 100 22 38 15 0 0; ]
0000100902[228 101 22 38 15 0 0; ]
0000100903[228 102 21 38 15 0 0; ]
0000100904[228 104 21 38 15 0 0; ]
0000100905[228 105 21 38 15 0 0; ]
0000100906[228 106 21 37 15 0 0; ]
0000100907[228 107 21 36 15 0 0; ]
0000100908[228 107 21 36 15 0 0; ]
0000100909[228 107 21 36 15 0 0; ]
0000100910[228 106 21 37 15 0 0; ]
0000100911[229 106 21 38 15 0 0; ]
0000100912[229 104 21 39 15 0 0; ]
0000100913[229 106 21 40 15 0 0; ]
0000100914[229 107 21 41 15 0 0; ]
0000100915[229 108 22 42 15 0 0; ]
0000100916[229 109 22 43 15 0 0; ]
0000100917[229 109 22 43 15 0 0; ]
0000100918[229 109 22 43 15 0 0; ]
0000100919[229 109 22 43 15 0 0; ]
0000100920[229 109 22 43 15 0 0; ]
0000100921[229 109 22 43 15 0 0; ]
0000100922[228 107 22 43 15 0 0; ]
0000100923[228 105 22 42 15 0 0; ]
0000100924[228 104 22 42 15 0 0; ]
0000100925[228 102 22 42 15 0 0; ]
0000100926[228 101 22 43 15 0 0; ]
0000100927[227 100 23 44 15 0 0; ]
0000100928[228 100 22 44 15 0 0; ]
0000100929[228 101 22 43 15 0 0; ]
0000100930[228 102 22 43 15 0 0; ]
0000100931[228 102 22 43 15 0 0; ]
0000100932[229 103 22 43 15 0 0; ]
0000100933[229 103 22 43 15 0 0; ]
0000100934[229 103 22 43 15 0 0; ]
0000100935[229 103 22 43 15 0 0; ]
0000100936[230 103 22 43 15 0 0; ]
0000100937[230 103 22 43 15 0 0; ]
0000100938[230 103 22 43 15 0 0; ]
0000100939[230 102 23 44 15 0 0; ]
0000100940[231 102 23 45 15 0 0; ]
0000100941[231 102 23 45 15 0 0; ]
0000100942[231 101 24 46 15 0 0; ]
0000100943[232 102 23 46 15 0 0; ]
0000100944[234 102 23 47 15 0 0; ]
0000100945[235 102 23 47 15 0 0; ]
0000100946[236 103 23 47 15 0 0; ]
0000100947[238 103 23 47 15 0 0; ]
0000100948[239 103 23 47 15 0 0; ]
0000100949[241 104 23 48 15 0 0; ]
0000100950[242 104 23 48 15 0 0; ]
0000100951[244 104 23 48 15 0 0; ]
0000100952[246 104 24 48 15 0 0; ]
0000100953[248 105 24 48 15 0 0; ]
0000100954[249 105 24 48 15 0 0; ]
0000100955[251 105 25 48 15 0 0; ]
0000100956[253 105 26 48 15 0 0; ]
0000100957[255 105 26 48 15 0 0; ]
0000100958[258 106 25 47 15 0 0; ]
0000100959[260 106 25 46 15 0 0; ]
0000100960[262 107 24 46 15 0 0; ]
0000100961[265 107 24 45 15 0 0; ]
0000100962[267 107 24 45 15 0 0; ]
0000100963[269 107 24 45 15 0 0; ]
0000100964[272 107 24 45 15 0 0; ]
0000100965[274 107 24 46 15 0 0; ]
0000100966[276 106 24 47 15 0 0; ]
0000100967[279 105 25 48 15 0 0; ]
0000100968[281 104 25 50 15 0 0; ]
0000100969[283 104 26 51 15 0 0; ]
0000100970[286 104 26 51 15 0 0; ]
0000100971[288 105 26 52 15 0 0; ]
0000100972[290 106 26 52 15 0 0; ]
0000100973[293 108 26 52 15 0 0; ]
0000100974[296 110 26 51 15 0 0; ]
0000100975[299 112 26 51 15 0 0; ]
0000100976[301 113 27 51 15 0 0; ]
0000100977[304 114 27 51 15 0 0; ]
0000100978[307 114 27 51 15 0 0; ]
0000100979[310 115 27 51 15 0 0; ]
0000100980[312 115 27 51 15 0 0; ]
0000100981[315 115 27 51 15 0 0; ]
0000100982[318 115 27 51 15 0 0; ]
0000100983[321 114 27 52 15 0 0; ]
0000100984[324 113 27 53 15 0 0; ]
0000100985[326 112 27 54 15 0 0; ]
0000100986[329 110 28 56 15 0 0; ]
0000100987[332 109 28 57 15 0 0; ]
0000100988[335 108 28 58 15 0 0; 136 109 16 30 16 0 0; ]
0000100989[338 108 28 58 15 0 0; ]
0000100990[340 108 28 58 15 0 0; ]
0000100991[343 107 29 58 15 0 0; ]
0000100992[346 107 29 59 15 0 0; ]
0000100993[348 107 29 59 15 0 0; ]
0000100994[351 106 29 59 15 0 0; ]
0000100995[354 106 29 59 15 0 0; ]
0000100996[356 106 30 60 15 0 0; ]
0000100997[359 105 30 60 15 0 0; ]
